IBOV - Carteira do Dia 07/08/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;478.558.715;0,529;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,739;
ASAI3;ASSAI;ON      NM;1.338.623.499;0,465;
AURE3;AUREN;ON      NM;317.799.925;0,143;
AXIA3;AXIA ENERGIA;ON      NM;2.156.759.550;4,694;
AZZA3;AZZAS 2154;ON      NM;109.571.260;0,073;
B3SA3;B3;ON      NM;4.997.059.816;3,142;
BBSE3;BBSEGURIDADE;ON  ED  NM;616.248.544;0,983;
BBDC3;BRADESCO;ON  EJS N1;1.548.223.583;0,979;
BBDC4;BRADESCO;PN  EJS N1;5.392.761.254;3,907;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,222;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,359;
BRKM5;BRASKEM;PNA     N1;265.709.734;0,066;
BRAV3;BRAVA;ON      NM;346.772.300;0,263;
BPAC11;BTGP BANCO;UNT     N2;1.194.624.560;2,748;
CXSE3;CAIXA SEGURI;ON  ED  NM;600.000.000;0,482;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,079;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,866;
COGN3;COGNA ON;ON  ATZ NM;1.915.914.094;0,173;
CSMG3;COPASA;ON      NM;359.581.776;0,932;
CPLE3;COPEL;ON      NM;2.969.406.694;1,811;
CSAN3;COSAN;ON      NM;2.242.671.999;0,348;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,352;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,388;
CURY3;CURY S/A;ON      NM;160.988.231;0,208;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,252;
DIRR3;DIRECIONAL;ON      NM;327.091.595;0,157;
EMBJ3;EMBRAER;ON      NM;711.833.141;2,670;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,659;
ENEV3;ENEVA;ON      NM;1.913.352.180;2,083;
EGIE3;ENGIE BRASIL;ON      NM;443.065.303;0,542;
EQTL3;EQUATORIAL;ON      NM;1.247.728.993;1,963;
FLRY3;FLEURY;ON      NM;447.150.822;0,316;
GGBR4;GERDAU;PN      N1;1.258.208.269;1,321;
GOAU4;GERDAU MET;PN      N1;830.837.767;0,381;
HAPV3;HAPVIDA;ON      NM;271.662.290;0,124;
HYPE3;HYPERA;ON      NM;321.083.946;0,280;
IGTI11;IGUATEMI S.A;UNT     N1;205.800.982;0,204;
ISAE4;ISA ENERGIA;PN      N1;460.013.216;0,502;
ITSA4;ITAUSA;PN      N1;5.970.738.360;3,302;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.050.269.111;8,647;
KLBN11;KLABIN S/A;UNT     N2;804.572.623;0,593;
RENT3;LOCALIZA;ON      NM;978.479.038;1,528;
LREN3;LOJAS RENNER;ON      NM;982.593.716;0,542;
MGLU3;MAGAZ LUIZA;ON      NM;373.155.063;0,070;
POMO4;MARCOPOLO;PN      N2;728.266.241;0,136;
MBRF3;MARFRIG;ON  ATZ NM;761.175.338;0,513;
BEEF3;MINERVA;ON      NM;454.804.863;0,065;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,601;
MRVE3;MRV;ON      NM;374.681.353;0,070;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,365;
NATU3;NATURA;ON      NM;838.359.453;0,281;
PETR3;PETROBRAS;ON      N2;2.237.877.167;4,333;
PETR4;PETROBRAS;PN      N2;4.410.960.450;7,606;
RECV3;PETRORECSA;ON      NM;274.624.898;0,113;
PSSA3;PORTO SEGURO;ON      NM;178.825.403;0,385;
PRIO3;PRIO;ON      NM;757.265.605;1,817;
RADL3;RAIADROGASIL;ON      NM;1.313.915.830;1,082;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,522;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,685;
SBSP3;SABESP;ON      NM;2.870.627.990;3,218;
SANB11;SANTANDER BR;UNT;360.347.199;0,432;
CSNA3;SID NACIONAL;ON;727.975.012;0,141;
SLCE3;SLC AGRICOLA;ON      NM;220.403.658;0,119;
SMFT3;SMART FIT;ON      NM;556.651.316;0,419;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,053;
TAEE11;TAESA;UNT     N2;218.568.234;0,354;
VIVT3;TELEF BRASIL;ON;707.125.712;0,894;
TIMS3;TIM;ON      NM;777.451.080;0,601;
TOTS3;TOTVS;ON      NM;533.997.411;0,704;
UGPA3;ULTRAPAR;ON      NM;1.067.870.496;1,431;
USIM5;USIMINAS;PNA     N1;518.256.757;0,153;
VALE3;VALE;ON      NM;3.535.764.048;10,911;
VAMO3;VAMOS;ON      NM;448.052.066;0,057;
VBBR3;VIBRA;ON      NM;1.192.004.780;1,710;
VIVA3;VIVARA S.A.;ON      NM;123.698.325;0,110;
WEGE3;WEG;ON      NM;1.485.954.732;2,944;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,088;
Quantidade Teórica Total;;;93.711.184.241;100,000
Redutor;;;13.917.445,62301751
