rank,ticker,mom_12_1,mom_6_1,pe,p_vp,ev_ebitda,dy,roe,debt_to_equity,profit_margin,value_score,quality_score,garp_score,dividend_score,momentum_score,composite_score,selic_real
1,GOAU4,0.44765,0.262273,5.800451,0.7681103,3.2010672,0.04,0.027219403669544857,0.5249448960058436,0.032658555,0.8807722124175573,-0.2108480199065953,0.8786021669553861,-0.27827658634639785,1.5022054783096768,0.7946825833407448,0.1383
2,PETR3,0.310334,-0.022935,5.0259643,1.3937894,4.7301617,0.05,0.10894378795236731,1.6543704109543556,0.2438609,0.7418790234596763,0.714349790311697,0.9008483615893421,0.07729905176288833,0.5861666876186686,0.6394241129499317,0.1383
3,PETR4,0.274475,-0.054518,5.0259643,1.2624768,4.499099,0.06,0.10894378795236731,1.6543704109543556,0.2438609,0.7697804082262575,0.714349790311697,0.9008483615893421,0.4328746898721743,0.4464570577527311,0.6218879632911435,0.1383
4,BBSE3,0.180239,0.118239,8.90702,7.515779,7.944763,0.11,0.22154780220461334,1.0131323663299923,,-0.20465727536774736,1.2837832933778481,-0.801095691753602,2.210752880418605,0.6725763248562497,0.5661776107724349,0.1383
5,GGBR4,0.401879,0.28968,18.732399,0.9360985,7.2495723,0.03,0.02728301518105137,0.5255065855893998,0.032720964,0.2908969813216029,-0.21033520948504336,-0.07588008980541255,-0.633852224455684,1.4809663932552481,0.5008479731306,0.1383
6,PRIO3,0.426307,-0.038417,13.573776,1.8613209,6.481707,,0.06946399987694095,1.2510244346638337,0.18111481,0.3692547349262638,0.3448062202982311,0.12110410192614722,0.0,0.7651533769903255,0.43616888873363224,0.1383
7,ELET3,0.175746,-0.116253,13.370995,1.3187803,16.79649,0.1,0.00973735235387037,1.2672547148264628,0.27059138,-0.1858666549008056,0.15418611242480704,0.5315107224033538,1.8551772423093191,0.12030542007535643,0.35219259373662604,0.1383
8,FLRY3,0.207436,0.174228,15.670479,2.0372283,6.942751,0.05,0.03974595949675013,1.4569700991524313,0.07885901,0.2694196539449982,-0.12883662397459575,0.004435435022698164,0.07729905176288833,0.8528491197339003,0.3509312806739693,0.1383
9,ABEV3,0.26301,0.004532,15.001537,2.759822,7.792869,0.07,0.039088226810701746,0.5547765879849473,0.18980156,0.1581722405448425,0.2454509608373601,-0.24954245154251292,0.7884503279814608,0.5621890481921696,0.3187195779884676,0.1383
10,SANB11,0.041506,-0.07691,7.150359,1.792818,,0.08,,8.99711967497558,0.09449728,0.36694195093382515,-0.9091891306648172,0.7444858347432838,1.1440259660907466,-0.03718055244976903,0.10328391153824287,0.1383
11,CMIG4,0.00551,-0.067282,10.612329,1.1042442,6.9012604,0.06,0.032393580695392804,1.4279064948335773,0.10509985,0.5004981659404207,-0.11171286657576857,0.2341882027900507,0.4328746898721743,-0.08154790673574676,0.08521319012981723,0.1383
